"const_id","const_name","elected_mp_party","elected_mp_party_name","elected_mp_name","elected_mp_votes","majority","valid","invalid","electorate","turnout_pct","ge17_party","ge17_majority","ge17_turnout"
"E14000846","North East Somerset","Con","Conservative and Unionist Party","Jacob Rees-Mogg",28360,14729,56308,,73684,76.4,"Con",10235,75.9
"E14000847","North Herefordshire","Con","Conservative and Unionist Party","Bill Wiggin",32158,24856,51033,,70252,72.6,"Con",21602,74.2
"E14000848","North Norfolk","Con","Conservative and Unionist Party","Duncan Charles Baker",29792,14395,50823,,,,"LD",3512,75.5
"E14000849","North Shropshire","Con","Conservative and Unionist Party","Owen Paterson",35444,22949,56513,,83257,67.9,"Con",16355,69.2
"E14000850","North Somerset","Con","Conservative and Unionist Party","Liam Fox",32801,17536,62055,,80194,77.4,"Con",17103,77.1
"E14000851","North Swindon","Con","Conservative and Unionist Party","Justin Tomlinson",32584,16171,55115,,82441,66.9,"Con",8335,68.6
"E14000852","North Thanet","Con","Conservative and Unionist Party","Roger Gale",30066,17189,48178,,72811,66.2,"Con",10738,66.6
"E14000853","North Tyneside","Lab","Labour Party","Mary Glindon",25051,9561,50429,,78902,63.9,"Lab",19284,65.9
"E14000854","North Warwickshire","Con","Conservative and Unionist Party","Craig Tracey",30249,17956,45914,,,,"Con",8510,65.5
"E14000855","North West Cambridgeshire","Con","Conservative and Unionist Party","Shailesh Vara",40307,25983,64533,,94909,68,"Con",18008,68.8
"E14000856","North West Durham","Con","Conservative and Unionist Party","Richard Holden",19990,1144,47663,,72166,66,"Lab",8792,66.7
"E14000857","North West Hampshire","Con","Conservative and Unionist Party","Kit Malthouse",36591,26308,58918,,83083,70.9,"Con",22679,72.3
"E14000858","North West Leicestershire","Con","Conservative and Unionist Party","Andrew Bridgen",33811,20400,53821,,78935,68.2,"Con",13286,71.2
"E14000859","North West Norfolk","Con","Conservative and Unionist Party","James Wild",30627,19922,46602,,72080,64.7,"Con",13788,67.8
"E14000860","North Wiltshire","Con","Conservative and Unionist Party","James Gray",32373,17626,54758,,,,"Con",22877,75.3
"E14000861","Northampton North","Con","Conservative and Unionist Party","Michael Ellis",21031,5507,39539,,58774,67.3,"Con",807,68.7
"E14000862","Northampton South","Con","Conservative and Unionist Party","Andrew Lewer",20914,4697,40835,,62172,65.7,"Con",1159,66.5
"E14000863","Norwich North","Con","Conservative and Unionist Party","Chloe Smith",23397,4738,46285,,67172,68.9,"Con",507,68.7
"E14000864","Norwich South","Lab","Labour Party","Clive Lewis",27766,12760,51673,,77845,66.4,"Lab",15596,69.4
"E14000865","Nottingham East","Lab","Labour Party","Nadia Whittome",25735,17393,40004,,66262,60.4,"Lab",19590,63.9
"E14000866","Nottingham North","Lab","Labour and Co-operative Party","Alex Norris",17337,4490,35320,,66495,53.1,"Lab",11160,57.4
"E14000867","Nottingham South","Lab","Labour Party","Lilian Greenwood",26586,12568,48134,,79485,60.6,"Lab",15162,67.8
"E14000868","Nuneaton","Con","Conservative and Unionist Party","Marcus Jones",27390,13144,45190,,,,"Con",4739,66.7
"E14000869","Old Bexley and Sidcup","Con","Conservative and Unionist Party","James Brokenshire",29786,18952,46145,,66104,69.8,"Con",15466,72.9
"E14000870","Oldham East and Saddleworth","Lab","Labour Party","Debbie Abrahams",20088,1499,46164,,72173,64,"Lab",8182,65.3
"E14000871","Oldham West and Royton","Lab","Labour and Co-operative Party","Jim McMahon",24579,11127,44434,,73063,60.8,"Lab",17198,63.4
"E14000872","Orpington","Con","Conservative and Unionist Party","Gareth Bacon",30882,22378,48721,,68884,70.7,"Con",19461,74.5
"E14000873","Oxford East","Lab","Labour and Co-operative Party","Anneliese Dodds",28135,17832,49359,,77947,63.3,"Lab",23284,68.9
"E14000874","Oxford West and Abingdon","LD","Liberal Democrats","Layla Moran",31340,8943,58824,,76953,76.4,"LD",816,79.6
"E14000875","Pendle","Con","Conservative and Unionist Party","Andrew Stephenson",24076,6186,44460,,65289,68.1,"Con",1279,69.2
"E14000876","Penistone and Stocksbridge","Con","Conservative and Unionist Party","Miriam Joy Cates",23688,7210,49520,,70925,69.8,"Lab",1322,70
"E14000877","Penrith and The Border","Con","Conservative and Unionist Party","Neil Hudson",28875,18519,47824,,67555,70.8,"Con",15910,71.5
"E14000878","Peterborough","Con","Conservative and Unionist Party","Paul Bristow",22334,2580,47914,,72560,66,"Lab",607,66.9
"E14000879","Plymouth, Moor View","Con","Conservative and Unionist Party","Johnny Mercer",26831,12897,44239,,69430,63.7,"Con",5019,65.6
"E14000880","Plymouth, Sutton and Devonport","Lab","Labour and Co-operative Party","Luke Pollard",25461,4757,53176,,77852,68.3,"Lab",6807,67
"E14000881","Poole","Con","Conservative and Unionist Party","Robert Syms",29599,19116,50451,,73992,68.2,"Con",14209,67.7
"E14000882","Poplar and Limehouse","Lab","Labour Party","Apsana Begum",38660,28904,61276,,91760,66.8,"Lab",27712,67.7
"E14000883","Portsmouth North","Con","Conservative and Unionist Party","Penny Mordaunt",28172,15780,45910,,71299,64.4,"Con",9965,66.3
"E14000884","Portsmouth South","Lab","Labour Party","Stephen Morgan",23068,5363,47425,,74186,63.9,"Lab",1554,64
"E14000885","Preston","Lab","Labour and Co-operative Party","Mark Hendrick",20870,12146,33790,,59672,56.6,"Lab",15723,61.7
"E14000886","Pudsey","Con","Conservative and Unionist Party","Stuart Andrew",26453,3517,54215,,73212,74.1,"Con",331,74.5
"E14000887","Putney","Lab","Labour Party","Fleur Anderson",22780,4774,50467,,65542,77,"Con",1554,72.3
"E14000888","Rayleigh and Wickford","Con","Conservative and Unionist Party","Mark Francois",39864,31000,54901,,,,"Con",23450,70.5
"E14000889","Reading East","Lab","Labour Party","Matt Rodda",27102,5924,55918,,77465,72.2,"Lab",3749,73.3
"E14000890","Reading West","Con","Conservative and Unionist Party","Alok Sharma",24393,4117,50392,,74623,67.5,"Con",2876,69.7
"E14000891","Redcar","Con","Conservative and Unionist Party","Jacob Young",18811,3527,40842,,,,"Lab",9485,63.8
"E14000892","Redditch","Con","Conservative and Unionist Party","Rachel Maclean",27907,16036,44067,,,,"Con",7363,70.3
"E14000893","Reigate","Con","Conservative and Unionist Party","Crispin Blunt",28665,18310,53156,,74842,71,"Con",17614,72.3
"E14000894","Ribble Valley","Con","Conservative and Unionist Party","Nigel Evans",33346,18439,55284,,,,"Con",13199,71
"E14000895","Richmond (Yorks)","Con","Conservative and Unionist Party","Rishi Sunak",36693,27210,57703,,82601,69.9,"Con",23108,70.6
"E14000896","Richmond Park","LD","Liberal Democrats","Sarah Olney",34559,7766,65067,,80161,81.2,"Con",45,79.3
"E14000897","Rochdale","Lab","Labour Party","Tony Lloyd",24475,9668,47447,,80168,59.2,"Lab",14819,64.2
"E14000898","Rochester and Strood","Con","Conservative and Unionist Party","Kelly Jane Tolhurst",31151,17072,51926,,82156,63.2,"Con",9850,65.1
"E14000899","Rochford and Southend East","Con","Conservative and Unionist Party","James Duddridge",27063,12286,46136,,75624,61,"Con",5548,64.4
"E14000900","Romford","Con","Conservative and Unionist Party","Andrew Richard Rosindell",30494,17893,47231,,72350,65.3,"Con",13778,68.1
"E14000901","Romsey and Southampton North","Con","Conservative and Unionist Party","Caroline Nokes",27862,10872,51390,,68228,75.3,"Con",18046,74.8
"E14000902","Rossendale and Darwen","Con","Conservative and Unionist Party","Jake Berry",27570,9522,48822,,72771,67.1,"Con",3216,69.4
"E14000903","Rother Valley","Con","Conservative and Unionist Party","Alexander Stafford",21970,6318,48698,,74802,65.1,"Lab",3882,65.9
"E14000904","Rotherham","Lab","Labour Party","Sarah Champion",14736,3121,35651,,61688,57.8,"Lab",11387,60.1
"E14000905","Rugby","Con","Conservative and Unionist Party","Mark Pawsey",29225,13417,50784,,72341,70.2,"Con",8212,71.3
"E14000906","Ruislip, Northwood and Pinner","Con","Conservative and Unionist Party","David Simmonds",29391,16394,52904,,73389,72.1,"Con",13980,72.9
"E14000907","Runnymede and Weybridge","Con","Conservative and Unionist Party","Ben Spencer",29262,18270,53289,,77196,69,"Con",18050,69.1
"E14000908","Rushcliffe","Con","Conservative and Unionist Party","Ruth Edwards",28765,7643,60505,,77116,78.5,"Con",8010,78.2
"E14000909","Rutland and Melton","Con","Conservative and Unionist Party","Alicia Kearns",36507,26924,58310,,,,"Con",23104,73.6
"E14000910","Saffron Walden","Con","Conservative and Unionist Party","Kemi Badenoch",39714,27594,63086,,87117,72.4,"Con",24966,73.6
"E14000911","Salford and Eccles","Lab","Labour Party","Rebecca Long Bailey",28755,16327,50632,,82202,61.6,"Lab",19132,61.1
"E14000912","Salisbury","Con","Conservative and Unionist Party","John Glen",30280,19736,53730,,,,"Con",17333,73.3
"E14000913","Scarborough and Whitby","Con","Conservative and Unionist Party","Robert Goodwill",27593,10270,49724,,74394,66.8,"Con",3435,68.6
"E14000914","Scunthorpe","Con","Conservative and Unionist Party","Holly Mumby-Croft",20306,6451,37750,,61975,60.9,"Lab",3431,65.4
"E14000915","Sedgefield","Con","Conservative and Unionist Party","Paul Howell",19609,4513,41566,,64325,64.6,"Lab",6059,65.2
"E14000916","Sefton Central","Lab","Labour Party","Bill Esterson",29254,15122,50880,,69760,72.9,"Lab",15618,75.6
"E14000917","Selby and Ainsty","Con","Conservative and Unionist Party","Nigel Adams",33995,20137,56418,,,,"Con",13772,74.1
"E14000918","Sevenoaks","Con","Conservative and Unionist Party","Laura Trott",30932,20818,50956,,71777,71,"Con",21917,71.8
"E14000919","Sheffield Central","Lab","Labour Party","Paul Blomfield",33968,27273,50913,,89849,56.7,"Lab",27748,61.9
"E14000920","Sheffield South East","Lab","Labour Party","Clive Betts",19359,4289,41998,,67832,61.9,"Lab",11798,63.4
"E14000921","Sheffield, Brightside and Hillsborough","Lab","Labour Party","Gill Furniss",22369,12274,39600,,69333,57.1,"Lab",19143,59.6
"E14000922","Sheffield, Hallam","Lab","Labour Party","Olivia Frances Blake",19709,712,56885,,72763,78.2,"Lab",2125,77.7
"E14000923","Sheffield, Heeley","Lab","Labour Party","Louise Haigh",21475,8520,42695,,66940,63.8,"Lab",13828,65.1
"E14000924","Sherwood","Con","Conservative and Unionist Party","Mark Spencer",32049,16186,52709,,77948,67.6,"Con",5198,70.2
"E14000925","Shipley","Con","Conservative and Unionist Party","Philip Davies",27437,6242,54004,,74029,72.9,"Con",4681,73.2
"E14000926","Shrewsbury and Atcham","Con","Conservative and Unionist Party","Daniel Kawczynski",31021,11217,59065,,82237,71.8,"Con",6627,73.8
"E14000927","Sittingbourne and Sheppey","Con","Conservative and Unionist Party","Gordon Henderson",34742,24479,51394,,,,"Con",15211,63
"E14000928","Skipton and Ripon","Con","Conservative and Unionist Party","Julian Smith",34919,23694,58724,,78673,74.6,"Con",19985,74.7
"E14000929","Sleaford and North Hykeham","Con","Conservative and Unionist Party","Caroline Johnson",44683,32565,66554,,94761,70.2,"Con",25237,72.5
"E14000930","Slough","Lab","Labour Party","Tan Dhesi",29421,13640,51038,,87632,58.2,"Lab",16998,65.4
"E14000931","Solihull","Con","Conservative and Unionist Party","Julian Knight",32309,21273,55344,,78762,70.3,"Con",20571,73.1
"E14000932","Somerton and Frome","Con","Conservative and Unionist Party","David Warburton",36230,19213,64896,,,,"Con",22906,75.8
"E14000933","South Basildon and East Thurrock","Con","Conservative and Unionist Party","Stephen Metcalfe",29973,19922,45297,,74441,60.8,"Con",11490,64.2
"E14000934","South Cambridgeshire","Con","Conservative and Unionist Party","Anthony Browne",31015,2904,66929,,87288,76.7,"Con",15952,76.3
"E14000935","South Derbyshire","Con","Conservative and Unionist Party","Heather Wheeler",33502,19335,53381,,,,"Con",11970,69.1
"E14000936","South Dorset","Con","Conservative and Unionist Party","Richard Drax",30024,17153,51058,,72924,70,"Con",11695,68.8
"E14000937","South East Cambridgeshire","Con","Conservative and Unionist Party","Lucy Frazer",32187,11490,64385,,86769,74.2,"Con",16158,73.4
"E14000938","South East Cornwall","Con","Conservative and Unionist Party","Sheryll Murray",31807,20971,53655,,71825,74.7,"Con",17443,74.2
"E14000939","South Holland and The Deepings","Con","Conservative and Unionist Party","John Hayes",37338,30838,49179,,75728,64.9,"Con",24897,66
"E14000940","South Leicestershire","Con","Conservative and Unionist Party","Alberto Costa",36791,24004,57469,,,,"Con",18631,71.9
"E14000941","South Norfolk","Con","Conservative and Unionist Party","Richard Bacon",36258,21275,62484,,86214,72.5,"Con",16678,73.8
"E14000942","South Northamptonshire","Con","Conservative and Unionist Party","Andrea Leadsom",41755,27761,66908,,,,"Con",22840,75.9
"E14000943","South Ribble","Con","Conservative and Unionist Party","Katherine Fletcher",30028,11199,53784,,75344,71.4,"Con",7421,72.5
"E14000944","South Shields","Lab","Labour Party","Emma Lewell-Buck",17273,9585,37882,,62793,60.3,"Lab",14508,64.4
"E14000945","South Staffordshire","Con","Conservative and Unionist Party","Gavin Williamson",36520,28250,50005,,,,"Con",22733,69.8
"E14000946","South Suffolk","Con","Conservative and Unionist Party","James Cartlidge",33276,22903,53495,,,,"Con",17749,72
"E14000947","South Swindon","Con","Conservative and Unionist Party","Robert Buckland",26536,6625,50746,,73118,69.4,"Con",2464,71
"E14000948","South Thanet","Con","Conservative and Unionist Party","Craig Mackinlay",27084,10587,48257,,73302,65.8,"Con",6387,68.9
"E14000949","South West Bedfordshire","Con","Conservative and Unionist Party","Andrew Selous",32212,18583,53307,,,,"Con",14168,70
"E14000950","South West Devon","Con","Conservative and Unionist Party","Gary Streeter",33286,21430,53367,,72535,73.6,"Con",15816,74.3
"E14000951","South West Hertfordshire","Con","Conservative and Unionist Party","Gagan Mohindra",30327,14408,61191,,80449,76.1,"Con",19550,75
"E14000952","South West Norfolk","Con","Conservative and Unionist Party","Elizabeth Truss",35507,26195,51466,,78455,65.6,"Con",18312,67.5
"E14000953","South West Surrey","Con","Conservative and Unionist Party","Jeremy Hunt",32191,8817,60340,,,,"Con",21590,77.6
"E14000954","South West Wiltshire","Con","Conservative and Unionist Party","Andrew Murrison",33038,21630,54895,,,,"Con",18326,71.4
"E14000955","Southampton, Itchen","Con","Conservative and Unionist Party","Royston Smith",23952,4498,47421,,79006,60,"Con",31,65.4
"E14000956","Southampton, Test","Lab","Labour Party","Alan Whitehead",22256,6213,44994,,79509,56.6,"Lab",11503,67
"E14000957","Southend West","Con","Conservative and Unionist Party","David Amess",27555,14459,46537,,69043,67.4,"Con",10000,69.9
"E14000958","Southport","Con","Conservative and Unionist Party","Damien Moore",22914,4147,48180,,70837,68,"Con",2914,69.2
"E14000959","Spelthorne","Con","Conservative and Unionist Party","Kwasi Kwarteng",29141,18393,49510,,70929,69.8,"Con",13425,69.1
"E14000960","St Albans","LD","Liberal Democrats","Daisy Cooper",28867,6293,57599,,73721,78.1,"Con",6109,78.5
"E14000961","St Austell and Newquay","Con","Conservative and Unionist Party","Steve Double",31273,16526,55776,,79930,69.8,"Con",11142,69.3
"E14000962","St Helens North","Lab","Labour Party","Conor McGinn",24870,12209,47561,,75593,62.9,"Lab",18406,66.1
"E14000963","St Helens South and Whiston","Lab","Labour Party","Marie Rimmer",29457,19122,50313,,79058,63.6,"Lab",24343,67
"E14000964","St Ives","Con","Conservative and Unionist Party","Derek Thomas",25365,4284,51399,,68795,74.7,"Con",312,76.5
"E14000965","Stafford","Con","Conservative and Unionist Party","Theo Clarke",29992,14377,51149,,72572,70.5,"Con",7729,76
"E14000966","Staffordshire Moorlands","Con","Conservative and Unionist Party","Karen Bradley",28192,16428,43656,,,,"Con",10830,70.7
"E14000967","Stalybridge and Hyde","Lab","Labour and Co-operative Party","Jonathan Reynolds",19025,2946,42368,,73064,58,"Lab",8084,59.6
"E14000968","Stevenage","Con","Conservative and Unionist Party","Stephen McPartland",25328,8562,47683,,,,"Con",3386,69.9
"E14000969","Stockport","Lab","Labour Party","Navendu Mishra",21695,10039,41715,,,,"Lab",14477,64.8
"E14000970","Stockton North","Lab","Labour Party","Alex Cunningham",17728,1027,41156,,66676,61.7,"Lab",8715,64.6
"E14000971","Stockton South","Con","Conservative and Unionist Party","Matt Vickers",27764,5260,54802,,76895,71.3,"Lab",888,71.3
"E14000972","Stoke-on-Trent Central","Con","Conservative and Unionist Party","Jo Gideon",14557,670,32070,,,,"Lab",3897,58.3
"E14000973","Stoke-on-Trent North","Con","Conservative and Unionist Party","Jonathan Edward Gullis",20974,6286,40134,,,,"Lab",2359,58.6
"E14000974","Stoke-on-Trent South","Con","Conservative and Unionist Party","Jack Edgar Brereton",24632,11271,39604,,,,"Con",663,63.3
"E14000975","Stone","Con","Conservative and Unionist Party","Bill Cash",31687,19945,49843,,,,"Con",17495,73.9
"E14000976","Stourbridge","Con","Conservative and Unionist Party","Suzanne Webb",27534,13571,45689,,,,"Con",7654,67.2
"E14000977","Stratford-on-Avon","Con","Conservative and Unionist Party","Nadhim Zahawi",33343,19972,55048,,,,"Con",21958,74
"E14000978","Streatham","Lab","Labour Party","Bell Ribeiro-Addy",30976,17690,56513,,84763,66.7,"Lab",26285,71.1
"E14000979","Stretford and Urmston","Lab","Labour Party","Kate Green",30195,16417,50067,,72386,69.2,"Lab",19705,70
"E14000980","Stroud","Con","Conservative and Unionist Party","Siobhan Baillie",31582,3840,65930,,84536,78,"Lab",687,77.2
"E14000981","Suffolk Coastal","Con","Conservative and Unionist Party","Thérèse Coffey",32958,20533,58308,,81910,71.2,"Con",16012,73.5
"E14000982","Sunderland Central","Lab","Labour Party","Julie Elliott",18336,2964,43476,,,,"Lab",9997,62.1
"E14000983","Surrey Heath","Con","Conservative and Unionist Party","Michael Gove",34358,18349,58654,,81349,72.1,"Con",24943,71.9
"E14000984","Sutton and Cheam","Con","Conservative and Unionist Party","Paul Scully",25235,8351,50487,,71760,70.4,"Con",12698,74
"E14000985","Sutton Coldfield","Con","Conservative and Unionist Party","Andrew Mitchell",31604,19272,52325,,75638,69.2,"Con",15339,70.1
"E14000986","Tamworth","Con","Conservative and Unionist Party","Christopher Pincher",30542,19634,46056,,71580,64.3,"Con",12347,66.3
"E14000987","Tatton","Con","Conservative and Unionist Party","Esther McVey",28277,17387,48967,,69018,70.9,"Con",14787,72.5
"E14000988","Taunton Deane","Con","Conservative and Unionist Party","Rebecca Pow",34164,11700,63733,,,,"Con",15887,73.9
"E14000989","Telford","Con","Conservative and Unionist Party","Lucy Allan",25546,10941,42825,,68921,62.1,"Con",720,65.8
"E14000990","Tewkesbury","Con","Conservative and Unionist Party","Laurence Robertson",35728,22410,61140,,83958,72.8,"Con",22574,72.7
"E14000991","The Cotswolds","Con","Conservative and Unionist Party","Geoffrey Robert Clifton-Brown",35484,20214,61176,,,,"Con",25499,74.4
"E14000992","The Wrekin","Con","Conservative and Unionist Party","Mark Pritchard",31029,18726,48890,,70693,69.2,"Con",9564,72.4
"E14000993","Thirsk and Malton","Con","Conservative and Unionist Party","Kevin Hollinrake",35634,25154,56588,,80979,69.9,"Con",19001,71.2
"E14000994","Thornbury and Yate","Con","Conservative and Unionist Party","Luke Hall",30202,12369,52243,,69492,75.2,"Con",12071,74.8
"E14000995","Thurrock","Con","Conservative and Unionist Party","Jackie Doyle-Price",27795,11482,47467,,79798,59.5,"Con",345,64.5
"E14000996","Tiverton and Honiton","Con","Conservative and Unionist Party","Neil Parish",35893,24239,59613,,82953,71.9,"Con",19801,71.8
"E14000997","Tonbridge and Malling","Con","Conservative and Unionist Party","Tom Tugendhat",35784,26941,57003,,77380,73.7,"Con",23508,73.6
"E14000998","Tooting","Lab","Labour Party","Rosena Allin-Khan",30811,14307,58473,,76933,76,"Lab",15458,74.8
"E14000999","Torbay","Con","Conservative and Unionist Party","Kevin Foster",29863,17749,50426,,75054,67.2,"Con",14283,67.5
"E14001000","Torridge and West Devon","Con","Conservative and Unionist Party","Geoffrey Cox",35904,24992,59730,,79831,74.8,"Con",20686,74
"E14001001","Totnes","Con","Conservative and Unionist Party","Anthony Mangnall",27751,12724,52182,,69863,74.7,"Con",13477,73.1
"E14001002","Tottenham","Lab","Labour Party","David Lammy",35621,30175,46856,,75740,61.9,"Lab",34584,67.9
"E14001003","Truro and Falmouth","Con","Conservative and Unionist Party","Cherilyn Mackrory",27237,4561,59190,,76719,77.2,"Con",3792,75.9
"E14001004","Tunbridge Wells","Con","Conservative and Unionist Party","Greg Clark",30119,14645,54650,,74816,73,"Con",16465,72.6
"E14001005","Twickenham","LD","Liberal Democrats","Munira Wilson",36166,14121,64503,,82866,77.8,"LD",9762,79.7
"E14001006","Tynemouth","Lab","Labour Party","Alan Campbell",26928,4857,56034,,77261,72.5,"Lab",11666,73.6
"E14001007","Uxbridge and South Ruislip","Con","Conservative and Unionist Party","Boris Johnson",25351,7210,48187,,70369,68.5,"Con",5034,66.9
"E14001008","Vauxhall","Lab","Labour and Co-operative Party","Florence Eshalomi",31615,19612,56333,,88600,63.6,"Lab",20250,67.3
"E14001009","Wakefield","Con","Conservative and Unionist Party","Imran Nasir Ahmad Khan",21283,3358,45027,,70192,64.1,"Lab",2176,66
"E14001010","Wallasey","Lab","Labour Party","Angela Eagle",29901,18322,46492,,66310,70.1,"Lab",23320,71.8
